experiment,problem,approach,size,instance_id,run_id,technical_success,failure_type,feasible,reported_objective,recomputed_objective,gurobi_objective,optimality_gap_pct,runtime_seconds,llm_runtime_seconds,solver_runtime_seconds,debug_iterations,final_solution,source_file
main,SMTWTP,Direct,10,smtwtp_n10_inst1,8,True,,True,3153,3153.0,2273.0,38.715354157501096,,,,,"[4, 0, 2, 8, 1, 3, 5, 7, 6, 9]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n10_inst1_run8.json
main,SMTWTP,Direct,10,smtwtp_n10_inst1,9,True,,True,1221,3325.0,2273.0,46.282446106467226,,,,,"[5, 4, 2, 8, 9, 6, 7, 1, 3, 0]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n10_inst1_run9.json
main,SMTWTP,Direct,10,smtwtp_n10_inst2,1,True,,True,1224,418.0,403.0,3.722084367245657,,,,,"[8, 7, 5, 9, 3, 0, 1, 6, 2, 4]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n10_inst2_run1.json
main,SMTWTP,Direct,10,smtwtp_n10_inst2,10,True,,True,1074,418.0,403.0,3.722084367245657,,,,,"[8, 7, 5, 9, 3, 0, 1, 6, 2, 4]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n10_inst2_run10.json
main,SMTWTP,Direct,10,smtwtp_n10_inst2,2,True,,True,1084,418.0,403.0,3.722084367245657,,,,,"[8, 7, 5, 9, 3, 0, 1, 6, 2, 4]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n10_inst2_run2.json
main,SMTWTP,Direct,10,smtwtp_n10_inst2,3,True,,True,1224,418.0,403.0,3.722084367245657,,,,,"[8, 7, 5, 9, 3, 0, 1, 6, 2, 4]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n10_inst2_run3.json
main,SMTWTP,Direct,10,smtwtp_n10_inst2,4,True,,True,1164,418.0,403.0,3.722084367245657,,,,,"[8, 7, 5, 9, 3, 0, 1, 6, 2, 4]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n10_inst2_run4.json
main,SMTWTP,Direct,10,smtwtp_n10_inst2,5,True,,True,1162,418.0,403.0,3.722084367245657,,,,,"[8, 7, 5, 9, 3, 0, 1, 6, 2, 4]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n10_inst2_run5.json
main,SMTWTP,Direct,10,smtwtp_n10_inst2,6,True,,True,1224,418.0,403.0,3.722084367245657,,,,,"[8, 7, 5, 9, 3, 0, 1, 6, 2, 4]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n10_inst2_run6.json
main,SMTWTP,Direct,10,smtwtp_n10_inst2,7,True,,True,1224,418.0,403.0,3.722084367245657,,,,,"[8, 7, 5, 9, 3, 0, 1, 6, 2, 4]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n10_inst2_run7.json
main,SMTWTP,Direct,10,smtwtp_n10_inst2,8,True,,True,1084,418.0,403.0,3.722084367245657,,,,,"[8, 7, 5, 9, 3, 0, 1, 6, 2, 4]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n10_inst2_run8.json
main,SMTWTP,Direct,10,smtwtp_n10_inst2,9,True,,True,1084,833.0,403.0,106.69975186104219,,,,,"[8, 7, 5, 3, 0, 1, 6, 2, 4, 9]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n10_inst2_run9.json
main,SMTWTP,Direct,10,smtwtp_n10_inst3,1,True,,True,1074,2254.0,856.0,163.3177570093458,,,,,"[3, 6, 0, 4, 2, 8, 5, 7, 1, 9]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n10_inst3_run1.json
main,SMTWTP,Direct,10,smtwtp_n10_inst3,10,True,,True,1304,2382.0,856.0,178.27102803738316,,,,,"[0, 6, 2, 4, 8, 3, 5, 7, 1, 9]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n10_inst3_run10.json
main,SMTWTP,Direct,10,smtwtp_n10_inst3,2,True,,True,1304,2302.0,856.0,168.92523364485982,,,,,"[0, 6, 4, 2, 8, 3, 5, 7, 1, 9]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n10_inst3_run2.json
main,SMTWTP,Direct,10,smtwtp_n10_inst3,3,True,,True,1224,2254.0,856.0,163.3177570093458,,,,,"[3, 6, 0, 4, 2, 8, 5, 7, 1, 9]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n10_inst3_run3.json
main,SMTWTP,Direct,10,smtwtp_n10_inst3,4,True,,True,1224,2254.0,856.0,163.3177570093458,,,,,"[3, 6, 0, 4, 2, 8, 5, 7, 1, 9]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n10_inst3_run4.json
main,SMTWTP,Direct,10,smtwtp_n10_inst3,5,True,,True,1304,2302.0,856.0,168.92523364485982,,,,,"[0, 4, 6, 2, 8, 3, 5, 7, 1, 9]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n10_inst3_run5.json
main,SMTWTP,Direct,10,smtwtp_n10_inst3,6,True,,True,1224,2520.0,856.0,194.39252336448598,,,,,"[6, 0, 2, 8, 4, 3, 5, 7, 1, 9]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n10_inst3_run6.json
main,SMTWTP,Direct,10,smtwtp_n10_inst3,7,True,,True,1304,2382.0,856.0,178.27102803738316,,,,,"[0, 6, 2, 4, 8, 3, 5, 7, 1, 9]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n10_inst3_run7.json
main,SMTWTP,Direct,10,smtwtp_n10_inst3,8,True,,True,3298,3298.0,856.0,285.2803738317757,,,,,"[3, 7, 6, 9, 8, 2, 0, 4, 5, 1]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n10_inst3_run8.json
main,SMTWTP,Direct,10,smtwtp_n10_inst3,9,True,,True,1674,1674.0,856.0,95.56074766355141,,,,,"[3, 7, 0, 6, 9, 8, 2, 4, 5, 1]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n10_inst3_run9.json
main,SMTWTP,Direct,10,smtwtp_n10_inst4,1,True,,True,1071,4196.0,1865.0,124.98659517426273,,,,,"[5, 1, 2, 0, 7, 3, 4, 6, 8, 9]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n10_inst4_run1.json
main,SMTWTP,Direct,10,smtwtp_n10_inst4,10,True,,True,1071,4231.0,1865.0,126.8632707774799,,,,,"[1, 5, 2, 0, 7, 3, 4, 6, 8, 9]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n10_inst4_run10.json
main,SMTWTP,Direct,10,smtwtp_n10_inst4,2,True,,True,1071,4231.0,1865.0,126.8632707774799,,,,,"[1, 5, 2, 0, 7, 3, 4, 6, 8, 9]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n10_inst4_run2.json
main,SMTWTP,Direct,10,smtwtp_n10_inst4,3,True,,True,1071,4196.0,1865.0,124.98659517426273,,,,,"[5, 1, 2, 0, 7, 3, 4, 6, 8, 9]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n10_inst4_run3.json
main,SMTWTP,Direct,10,smtwtp_n10_inst4,4,True,,True,2620,2620.0,1865.0,40.48257372654155,,,,,"[4, 9, 1, 5, 2, 7, 8, 6, 0, 3]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n10_inst4_run4.json
main,SMTWTP,Direct,10,smtwtp_n10_inst4,5,True,,True,1071,4231.0,1865.0,126.8632707774799,,,,,"[1, 5, 2, 0, 7, 3, 4, 6, 8, 9]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n10_inst4_run5.json
main,SMTWTP,Direct,10,smtwtp_n10_inst4,6,True,,True,1071,4231.0,1865.0,126.8632707774799,,,,,"[1, 5, 2, 0, 7, 3, 4, 6, 8, 9]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n10_inst4_run6.json
main,SMTWTP,Direct,10,smtwtp_n10_inst4,7,True,,True,1381,4196.0,1865.0,124.98659517426273,,,,,"[5, 1, 2, 0, 7, 3, 4, 6, 8, 9]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n10_inst4_run7.json
main,SMTWTP,Direct,10,smtwtp_n10_inst4,8,True,,True,1071,4231.0,1865.0,126.8632707774799,,,,,"[1, 5, 2, 0, 7, 3, 4, 6, 8, 9]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n10_inst4_run8.json
main,SMTWTP,Direct,10,smtwtp_n10_inst4,9,True,,True,1071,4196.0,1865.0,124.98659517426273,,,,,"[5, 1, 2, 0, 7, 3, 4, 6, 8, 9]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n10_inst4_run9.json
main,SMTWTP,Direct,15,smtwtp_n15_inst0,1,True,,True,4253,4253.0,1645.0,158.54103343465044,,,,,"[4, 9, 1, 6, 12, 14, 10, 2, 0, 13, 3, 7, 8, 11, 5]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n15_inst0_run1.json
main,SMTWTP,Direct,15,smtwtp_n15_inst0,10,True,,True,4573,4573.0,1645.0,177.99392097264436,,,,,"[4, 9, 1, 12, 14, 2, 10, 6, 0, 3, 13, 7, 8, 11, 5]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n15_inst0_run10.json
main,SMTWTP,Direct,15,smtwtp_n15_inst0,2,True,,True,1234,4313.0,1645.0,162.1884498480243,,,,,"[4, 9, 1, 6, 12, 14, 10, 2, 0, 13, 7, 8, 3, 11, 5]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n15_inst0_run2.json
main,SMTWTP,Direct,15,smtwtp_n15_inst0,3,True,,True,1581,4294.0,1645.0,161.03343465045592,,,,,"[4, 9, 1, 6, 12, 14, 10, 2, 0, 13, 3, 8, 7, 11, 5]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n15_inst0_run3.json
main,SMTWTP,Direct,15,smtwtp_n15_inst0,4,True,,True,4646,4646.0,1645.0,182.43161094224925,,,,,"[4, 9, 1, 12, 14, 2, 10, 6, 0, 3, 13, 7, 11, 8, 5]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n15_inst0_run4.json
main,SMTWTP,Direct,15,smtwtp_n15_inst0,5,True,,True,4573,4573.0,1645.0,177.99392097264436,,,,,"[4, 9, 1, 12, 14, 6, 10, 2, 0, 3, 13, 7, 8, 11, 5]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n15_inst0_run5.json
main,SMTWTP,Direct,15,smtwtp_n15_inst0,6,True,,True,4573,4573.0,1645.0,177.99392097264436,,,,,"[4, 9, 1, 12, 14, 6, 10, 2, 0, 3, 13, 7, 8, 11, 5]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n15_inst0_run6.json
main,SMTWTP,Direct,15,smtwtp_n15_inst0,7,True,,True,1461,4253.0,1645.0,158.54103343465044,,,,,"[4, 9, 1, 6, 12, 14, 10, 2, 0, 13, 3, 7, 8, 11, 5]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n15_inst0_run7.json
main,SMTWTP,Direct,15,smtwtp_n15_inst0,8,True,,True,2947,4573.0,1645.0,177.99392097264436,,,,,"[4, 9, 1, 12, 14, 2, 10, 6, 0, 3, 13, 7, 8, 11, 5]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n15_inst0_run8.json
main,SMTWTP,Direct,15,smtwtp_n15_inst0,9,True,,True,4573,4573.0,1645.0,177.99392097264436,,,,,"[4, 9, 1, 12, 14, 6, 10, 2, 0, 3, 13, 7, 8, 11, 5]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n15_inst0_run9.json
main,SMTWTP,Direct,15,smtwtp_n15_inst1,1,True,,True,1070,5595.0,2700.0,107.22222222222221,,,,,"[11, 9, 6, 4, 10, 12, 5, 2, 13, 3, 8, 14, 0, 1, 7]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n15_inst1_run1.json
main,SMTWTP,Direct,15,smtwtp_n15_inst1,10,True,,True,10410,5564.0,2700.0,106.07407407407408,,,,,"[11, 9, 6, 4, 10, 12, 5, 2, 3, 13, 14, 8, 0, 1, 7]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n15_inst1_run10.json
main,SMTWTP,Direct,15,smtwtp_n15_inst1,2,True,,True,1080,5508.0,2700.0,104.0,,,,,"[11, 9, 6, 4, 10, 12, 5, 2, 13, 3, 14, 8, 0, 1, 7]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n15_inst1_run2.json
main,SMTWTP,Direct,15,smtwtp_n15_inst1,3,True,,True,10410,5508.0,2700.0,104.0,,,,,"[11, 9, 6, 4, 10, 12, 5, 2, 13, 3, 14, 8, 0, 1, 7]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n15_inst1_run3.json
main,SMTWTP,Direct,15,smtwtp_n15_inst1,4,True,,True,1080,5508.0,2700.0,104.0,,,,,"[11, 9, 6, 4, 10, 12, 5, 2, 13, 3, 14, 8, 0, 1, 7]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n15_inst1_run4.json
main,SMTWTP,Direct,15,smtwtp_n15_inst1,5,True,,True,0,5564.0,2700.0,106.07407407407408,,,,,"[11, 9, 6, 4, 10, 12, 5, 2, 3, 13, 14, 8, 0, 1, 7]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n15_inst1_run5.json
main,SMTWTP,Direct,15,smtwtp_n15_inst1,6,True,,True,1070,5508.0,2700.0,104.0,,,,,"[11, 9, 6, 4, 10, 12, 5, 2, 13, 3, 14, 8, 0, 1, 7]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n15_inst1_run6.json
main,SMTWTP,Direct,15,smtwtp_n15_inst1,7,True,,True,1081,5508.0,2700.0,104.0,,,,,"[11, 9, 6, 4, 10, 12, 5, 2, 13, 3, 14, 8, 0, 1, 7]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n15_inst1_run7.json
main,SMTWTP,Direct,15,smtwtp_n15_inst1,8,True,,True,0,5994.0,2700.0,122.0,,,,,"[11, 9, 6, 4, 10, 12, 5, 2, 3, 14, 8, 13, 0, 1, 7]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n15_inst1_run8.json
main,SMTWTP,Direct,15,smtwtp_n15_inst1,9,True,,True,1071,5508.0,2700.0,104.0,,,,,"[11, 9, 6, 4, 10, 12, 5, 2, 13, 3, 14, 8, 0, 1, 7]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n15_inst1_run9.json
main,SMTWTP,Direct,15,smtwtp_n15_inst2,1,True,,True,0,7971.0,3953.0,101.64432076903618,,,,,"[9, 12, 3, 10, 0, 14, 4, 8, 6, 11, 13, 1, 7, 5, 2]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n15_inst2_run1.json
main,SMTWTP,Direct,15,smtwtp_n15_inst2,10,True,,True,1301,7971.0,3953.0,101.64432076903618,,,,,"[9, 12, 3, 10, 0, 14, 4, 8, 6, 11, 13, 1, 7, 5, 2]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n15_inst2_run10.json
main,SMTWTP,Direct,15,smtwtp_n15_inst2,2,True,,True,7971,7971.0,3953.0,101.64432076903618,,,,,"[9, 12, 3, 10, 0, 14, 4, 8, 6, 11, 13, 1, 7, 5, 2]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n15_inst2_run2.json
main,SMTWTP,Direct,15,smtwtp_n15_inst2,3,True,,True,1234,7971.0,3953.0,101.64432076903618,,,,,"[9, 12, 3, 10, 0, 14, 4, 8, 6, 11, 13, 1, 7, 5, 2]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n15_inst2_run3.json
main,SMTWTP,Direct,15,smtwtp_n15_inst2,4,True,,True,7971,7971.0,3953.0,101.64432076903618,,,,,"[9, 12, 3, 10, 0, 14, 4, 8, 6, 11, 13, 1, 7, 5, 2]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n15_inst2_run4.json
main,SMTWTP,Direct,15,smtwtp_n15_inst2,5,True,,True,0,7971.0,3953.0,101.64432076903618,,,,,"[9, 12, 3, 10, 0, 14, 4, 8, 6, 11, 13, 1, 7, 5, 2]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n15_inst2_run5.json
main,SMTWTP,Direct,15,smtwtp_n15_inst2,6,True,,True,1234,7971.0,3953.0,101.64432076903618,,,,,"[9, 12, 3, 10, 0, 14, 4, 8, 6, 11, 13, 1, 7, 5, 2]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n15_inst2_run6.json
main,SMTWTP,Direct,15,smtwtp_n15_inst2,7,True,,True,1234,7971.0,3953.0,101.64432076903618,,,,,"[9, 12, 3, 10, 0, 14, 4, 8, 6, 11, 13, 1, 7, 5, 2]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n15_inst2_run7.json
main,SMTWTP,Direct,15,smtwtp_n15_inst2,8,True,,True,1193,7971.0,3953.0,101.64432076903618,,,,,"[9, 12, 3, 10, 0, 14, 4, 8, 6, 11, 13, 1, 7, 5, 2]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n15_inst2_run8.json
main,SMTWTP,Direct,15,smtwtp_n15_inst2,9,True,,True,1070,7971.0,3953.0,101.64432076903618,,,,,"[9, 12, 3, 10, 0, 14, 4, 8, 6, 11, 13, 1, 7, 5, 2]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n15_inst2_run9.json
main,SMTWTP,Direct,15,smtwtp_n15_inst3,1,True,,True,3910,3910.0,2516.0,55.4054054054054,,,,,"[12, 6, 0, 2, 4, 1, 10, 13, 8, 14, 5, 3, 7, 9, 11]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n15_inst3_run1.json
main,SMTWTP,Direct,15,smtwtp_n15_inst3,10,True,,True,3143,3923.0,2516.0,55.9220985691574,,,,,"[12, 6, 0, 2, 4, 1, 10, 13, 8, 14, 3, 5, 7, 9, 11]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n15_inst3_run10.json
main,SMTWTP,Direct,15,smtwtp_n15_inst3,2,True,,True,3910,3910.0,2516.0,55.4054054054054,,,,,"[12, 6, 0, 2, 4, 1, 10, 13, 8, 14, 5, 3, 7, 9, 11]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n15_inst3_run2.json
main,SMTWTP,Direct,15,smtwtp_n15_inst3,3,True,,True,1071,3910.0,2516.0,55.4054054054054,,,,,"[12, 6, 0, 2, 4, 1, 10, 13, 8, 14, 5, 3, 7, 9, 11]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n15_inst3_run3.json
main,SMTWTP,Direct,15,smtwtp_n15_inst3,4,True,,True,1081,3910.0,2516.0,55.4054054054054,,,,,"[12, 6, 0, 2, 4, 1, 10, 13, 8, 14, 5, 3, 7, 9, 11]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n15_inst3_run4.json
main,SMTWTP,Direct,15,smtwtp_n15_inst3,5,True,,True,5241,3923.0,2516.0,55.9220985691574,,,,,"[12, 6, 0, 2, 4, 1, 10, 13, 8, 14, 3, 5, 7, 9, 11]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n15_inst3_run5.json
main,SMTWTP,Direct,15,smtwtp_n15_inst3,6,True,,True,0,3923.0,2516.0,55.9220985691574,,,,,"[12, 6, 0, 2, 4, 1, 10, 13, 8, 14, 3, 5, 7, 9, 11]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n15_inst3_run6.json
main,SMTWTP,Direct,15,smtwtp_n15_inst3,7,True,,True,1070,3910.0,2516.0,55.4054054054054,,,,,"[12, 6, 0, 2, 4, 1, 10, 13, 8, 14, 5, 3, 7, 9, 11]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n15_inst3_run7.json
main,SMTWTP,Direct,15,smtwtp_n15_inst3,8,True,,True,1301,3923.0,2516.0,55.9220985691574,,,,,"[12, 6, 0, 2, 4, 1, 10, 13, 8, 14, 3, 5, 7, 9, 11]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n15_inst3_run8.json
main,SMTWTP,Direct,15,smtwtp_n15_inst3,9,True,,True,0,3910.0,2516.0,55.4054054054054,,,,,"[12, 6, 0, 2, 4, 1, 10, 13, 8, 14, 5, 3, 7, 9, 11]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n15_inst3_run9.json
main,SMTWTP,Direct,15,smtwtp_n15_inst4,1,False,unparseable_response,False,,,4920.0,,,,,,,data/results/direct_smtwtp_final/smtwtp/smtwtp_n15_inst4_run1.json
main,SMTWTP,Direct,15,smtwtp_n15_inst4,10,True,,True,10412,8770.0,4920.0,78.2520325203252,,,,,"[1, 13, 5, 8, 10, 14, 11, 3, 7, 2, 12, 9, 4, 6, 0]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n15_inst4_run10.json
main,SMTWTP,Direct,15,smtwtp_n15_inst4,2,True,,True,1234,8770.0,4920.0,78.2520325203252,,,,,"[1, 5, 13, 8, 10, 14, 11, 3, 7, 2, 12, 9, 4, 6, 0]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n15_inst4_run2.json
main,SMTWTP,Direct,15,smtwtp_n15_inst4,3,True,,True,8671,8671.0,4920.0,76.239837398374,,,,,"[1, 13, 5, 14, 11, 10, 3, 7, 2, 12, 9, 4, 6, 8, 0]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n15_inst4_run3.json
main,SMTWTP,Direct,15,smtwtp_n15_inst4,4,False,unparseable_response,False,,,4920.0,,,,,,,data/results/direct_smtwtp_final/smtwtp/smtwtp_n15_inst4_run4.json
main,SMTWTP,Direct,15,smtwtp_n15_inst4,5,True,,True,1234,8749.0,4920.0,77.82520325203251,,,,,"[1, 5, 13, 8, 10, 14, 11, 3, 7, 2, 12, 9, 6, 4, 0]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n15_inst4_run5.json
main,SMTWTP,Direct,15,smtwtp_n15_inst4,6,True,,True,8266,8266.0,4920.0,68.0081300813008,,,,,"[1, 13, 5, 8, 14, 11, 10, 3, 7, 2, 12, 9, 4, 6, 0]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n15_inst4_run6.json
main,SMTWTP,Direct,15,smtwtp_n15_inst4,7,True,,True,1234,8749.0,4920.0,77.82520325203251,,,,,"[1, 5, 13, 8, 10, 14, 11, 3, 7, 2, 12, 9, 6, 4, 0]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n15_inst4_run7.json
main,SMTWTP,Direct,15,smtwtp_n15_inst4,8,False,unparseable_response,False,,,4920.0,,,,,,,data/results/direct_smtwtp_final/smtwtp/smtwtp_n15_inst4_run8.json
main,SMTWTP,Direct,15,smtwtp_n15_inst4,9,False,unparseable_response,False,,,4920.0,,,,,,,data/results/direct_smtwtp_final/smtwtp/smtwtp_n15_inst4_run9.json
main,SMTWTP,Direct,20,smtwtp_n20_inst0,1,True,,True,1073,17709.0,4690.0,277.59061833688696,,,,,"[7, 19, 18, 3, 2, 1, 8, 16, 9, 17, 11, 6, 5, 15, 0, 4, 14, 13, 12, 10]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n20_inst0_run1.json
